Mnigripes_gene_id,Mnigripes_transcript_id,Gene_Symbol,Mpfuro_ensembl_gene_id,description_mpfuro,description_hsapiens
MUSNIGG00023443,MUSNIGT00028501,MYH6,NA,NA,myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]
MUSNIGG00023444,MUSNIGT00028502,MYH7,NA,NA,myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]
MUSNIGG00023445,MUSNIGT00028503,NGDN,ENSMPUG00000006439,neuroguidin [Source:HGNC Symbol;Acc:HGNC:20271],neuroguidin [Source:HGNC Symbol;Acc:HGNC:20271]
MUSNIGG00023447,MUSNIGT00028507,ZFHX2,ENSMPUG00000006417,zinc finger homeobox 2 [Source:NCBI gene;Acc:101673388],zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]
MUSNIGG00023447,MUSNIGT00028507,ZFHX2,ENSMPUG00000006417,zinc finger homeobox 2 [Source:NCBI gene;Acc:101673388],zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]
MUSNIGG00023447,MUSNIGT00028507,ZFHX2,ENSMPUG00000006417,zinc finger homeobox 2 [Source:NCBI gene;Acc:101673388],zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]
MUSNIGG00023447,MUSNIGT00028507,ZFHX2,ENSMPUG00000006417,zinc finger homeobox 2 [Source:NCBI gene;Acc:101673388],zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]
MUSNIGG00023448,MUSNIGT00028508,THTPA,ENSMPUG00000006410,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987],thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]
MUSNIGG00023449,MUSNIGT00028509,AP1G2,ENSMPUG00000006392,adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556],adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]
MUSNIGG00023450,MUSNIGT00028510,JPH4,ENSMPUG00000006363,junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156],junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156]
MUSNIGG00023451,MUSNIGT00028511,DHRS2,ENSMPUG00000006346,dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349],dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]
MUSNIGG00023453,MUSNIGT00028513,DHRS2,ENSMPUG00000006346,dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349],dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]
MUSNIGG00023456,MUSNIGT00028516,DHRS4,NA,NA,dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985]
MUSNIGG00023457,MUSNIGT00028518,LRRC16B,NA,NA,NA
MUSNIGG00023459,MUSNIGT00028521,PCK2,ENSMPUG00000006229,"phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]","phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"
MUSNIGG00023460,MUSNIGT00028522,DCAF11,ENSMPUG00000006217,DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258],DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]
MUSNIGG00023461,MUSNIGT00028525,FITM1,ENSMPUG00000006209,fat storage inducing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:33714],fat storage inducing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:33714]
MUSNIGG00023462,MUSNIGT00028526,PSME1,ENSMPUG00000006035,proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568],proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]
MUSNIGG00023463,MUSNIGT00028527,EMC9,ENSMPUG00000005997,ER membrane protein complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:20273],ER membrane protein complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:20273]
MUSNIGG00023464,MUSNIGT00028528,PSME2,ENSMPUG00000005981,proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569],proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]
MUSNIGG00023465,MUSNIGT00028529,RNF31,NA,NA,ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]
MUSNIGG00023466,MUSNIGT00028530,REC8,ENSMPUG00000005934,REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879],REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]
MUSNIGG00023467,MUSNIGT00028531,IPO4,ENSMPUG00000005916,importin 4 [Source:HGNC Symbol;Acc:HGNC:19426],importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]
MUSNIGG00023468,MUSNIGT00028532,TM9SF1,NA,NA,transmembrane 9 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11864]
MUSNIGG00023470,MUSNIGT00028536,CHMP4A,ENSMPUG00000005867,charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274],charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]
MUSNIGG00023472,MUSNIGT00028538,NEDD8,NA,NA,NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]
MUSNIGG00023473,MUSNIGT00028539,GMPR2,ENSMPUG00000005758,guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377],guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]
MUSNIGG00023474,MUSNIGT00028540,TINF2,ENSMPUG00000005766,TERF1 interacting nuclear factor 2 [Source:NCBI gene;Acc:101683774],TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]
MUSNIGG00023476,MUSNIGT00028542,TGM1,ENSMPUG00000005745,transglutaminase 1 [Source:NCBI gene;Acc:101680272],transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]
MUSNIGG00023477,MUSNIGT00028543,RABGGTA,ENSMPUG00000005729,Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795],Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795]
MUSNIGG00023478,MUSNIGT00028544,DHRS1,ENSMPUG00000005724,dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445],dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]
MUSNIGG00023479,MUSNIGT00028545,NOP9,ENSMPUG00000005719,NOP9 nucleolar protein [Source:NCBI gene;Acc:101677762],NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]
MUSNIGG00023480,MUSNIGT00028546,CIDEB,NA,NA,cell death inducing DFFA like effector b [Source:HGNC Symbol;Acc:HGNC:1977]
MUSNIGG00023481,MUSNIGT00028547,LTB4R,ENSMPUG00000005689,leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713],leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]
MUSNIGG00023482,MUSNIGT00028548,ADCY4,ENSMPUG00000005671,adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235],adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]
MUSNIGG00023483,MUSNIGT00028550,NFATC4,ENSMPUG00000005665,nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778],nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]
MUSNIGG00023485,MUSNIGT00028552,NYNRIN,ENSMPUG00000005656,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165],NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]
MUSNIGG00023486,MUSNIGT00028553,CBLN3,ENSMPUG00000005624,cerebellin 3 precursor [Source:HGNC Symbol;Acc:HGNC:20146],cerebellin 3 precursor [Source:HGNC Symbol;Acc:HGNC:20146]
MUSNIGG00023487,MUSNIGT00028554,KHNYN,ENSMPUG00000005614,KH and NYN domain containing [Source:HGNC Symbol;Acc:HGNC:20166],KH and NYN domain containing [Source:HGNC Symbol;Acc:HGNC:20166]
MUSNIGG00023488,MUSNIGT00028555,SDR39U1,ENSMPUG00000005600,short chain dehydrogenase/reductase family 39U member 1 [Source:HGNC Symbol;Acc:HGNC:20275],short chain dehydrogenase/reductase family 39U member 1 [Source:HGNC Symbol;Acc:HGNC:20275]
MUSNIGG00023490,MUSNIGT00028558,CMA1,ENSMPUG00000005588,chymase 1 [Source:HGNC Symbol;Acc:HGNC:2097],chymase 1 [Source:HGNC Symbol;Acc:HGNC:2097]
MUSNIGG00023492,MUSNIGT00028560,CTSG,ENSMPUG00000005559,cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532],cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532]
MUSNIGG00023493,MUSNIGT00028561,GZMH,ENSMPUG00000005487,granzyme H [Source:NCBI gene;Acc:101693755],granzyme H [Source:HGNC Symbol;Acc:HGNC:4710]
MUSNIGG00023494,MUSNIGT00028562,,NA,NA,NA
MUSNIGG00023495,MUSNIGT00028563,GZMB,ENSMPUG00000005479,granzyme B [Source:HGNC Symbol;Acc:HGNC:4709],granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]
MUSNIGG00023499,MUSNIGT00028568,STXBP6,NA,NA,syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]
MUSNIGG00023519,MUSNIGT00028590,NOVA1,ENSMPUG00000005462,NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886],NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886]
MUSNIGG00023520,MUSNIGT00028591,CDC34,ENSMPUG00000009960,cell division cycle 34 [Source:HGNC Symbol;Acc:HGNC:1734],"cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]"
MUSNIGG00023520,MUSNIGT00028591,CDC34,ENSMPUG00000009960,cell division cycle 34 [Source:HGNC Symbol;Acc:HGNC:1734],"cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]"
MUSNIGG00023520,MUSNIGT00028591,CDC34,ENSMPUG00000009960,cell division cycle 34 [Source:HGNC Symbol;Acc:HGNC:1734],"cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]"
MUSNIGG00023520,MUSNIGT00028591,CDC34,ENSMPUG00000009960,cell division cycle 34 [Source:HGNC Symbol;Acc:HGNC:1734],"cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]"
MUSNIGG00023523,MUSNIGT00028594,,NA,NA,NA
MUSNIGG00023526,MUSNIGT00028598,,NA,NA,NA
MUSNIGG00023548,MUSNIGT00028620,FOXG1,ENSMPUG00000005425,forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811],forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]
MUSNIGG00023552,MUSNIGT00028625,PRKD1,ENSMPUG00000005409,protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407],protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]
MUSNIGG00023557,MUSNIGT00028631,G2E3,ENSMPUG00000005396,G2/M-phase specific E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:20338],G2/M-phase specific E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:20338]
MUSNIGG00023558,MUSNIGT00028632,SCFD1,ENSMPUG00000005374,sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726],sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]
MUSNIGG00023561,MUSNIGT00028636,COCH,ENSMPUG00000005358,cochlin [Source:HGNC Symbol;Acc:HGNC:2180],cochlin [Source:HGNC Symbol;Acc:HGNC:2180]
MUSNIGG00023562,MUSNIGT00028638,STRN3,ENSMPUG00000005340,striatin 3 [Source:HGNC Symbol;Acc:HGNC:15720],striatin 3 [Source:HGNC Symbol;Acc:HGNC:15720]
MUSNIGG00023563,MUSNIGT00028639,AP4S1,ENSMPUG00000005330,adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575],adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]
MUSNIGG00023564,MUSNIGT00028640,HECTD1,ENSMPUG00000005315,HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157],HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]
MUSNIGG00023566,MUSNIGT00028647,HEATR5A,ENSMPUG00000001067,HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276],HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276]
MUSNIGG00023567,MUSNIGT00028648,GPR33,ENSMPUG00000019234,G protein-coupled receptor 33 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:4489],G protein-coupled receptor 33 [Source:HGNC Symbol;Acc:HGNC:4489]
MUSNIGG00023568,MUSNIGT00028649,NUBPL,ENSMPUG00000001061,nucleotide binding protein like [Source:HGNC Symbol;Acc:HGNC:20278],nucleotide binding protein like [Source:HGNC Symbol;Acc:HGNC:20278]
MUSNIGG00023571,MUSNIGT00028653,ARHGAP5,ENSMPUG00000001057,Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675],Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]
MUSNIGG00023573,MUSNIGT00028656,AKAP6,ENSMPUG00000001051,A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376],A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]
MUSNIGG00023574,MUSNIGT00028657,,NA,NA,NA
MUSNIGG00023576,MUSNIGT00028660,NPAS3,ENSMPUG00000001045,neuronal PAS domain protein 3 [Source:HGNC Symbol;Acc:HGNC:19311],neuronal PAS domain protein 3 [Source:HGNC Symbol;Acc:HGNC:19311]
MUSNIGG00023579,MUSNIGT00028664,EGLN3,ENSMPUG00000001043,egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661],egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]
MUSNIGG00023583,MUSNIGT00028668,SPTSSA,NA,NA,serine palmitoyltransferase small subunit A [Source:HGNC Symbol;Acc:HGNC:20361]
MUSNIGG00023584,MUSNIGT00028669,EAPP,NA,NA,E2F associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:19312]
MUSNIGG00023585,MUSNIGT00028670,SNX6,ENSMPUG00000016307,sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970],sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]
MUSNIGG00023586,MUSNIGT00028671,CFL2,ENSMPUG00000016306,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875],cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
MUSNIGG00023587,MUSNIGT00028672,BAZ1A,ENSMPUG00000016305,bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960],bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]
MUSNIGG00023588,MUSNIGT00028673,,NA,NA,NA
MUSNIGG00023589,MUSNIGT00028674,SRP54,ENSMPUG00000016302,signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301],signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]
MUSNIGG00023590,MUSNIGT00028675,PPP2R3C,ENSMPUG00000016292,protein phosphatase 2 regulatory subunit B''gamma [Source:NCBI gene;Acc:101670213],protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]
MUSNIGG00023591,MUSNIGT00028676,KIAA0391,NA,NA,NA
MUSNIGG00023592,MUSNIGT00028677,PSMA6,ENSMPUG00000016288,proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535],proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]
MUSNIGG00023595,MUSNIGT00028681,NFKBIA,ENSMPUG00000016286,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797],NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
MUSNIGG00023598,MUSNIGT00028684,INSM2,ENSMPUG00000019565,INSM transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:17539],INSM transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:17539]
MUSNIGG00023599,MUSNIGT00028690,RALGAPA1,ENSMPUG00000016268,Ral GTPase activating protein catalytic alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:17770],Ral GTPase activating protein catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:17770]
MUSNIGG00023600,MUSNIGT00028691,BRMS1L,ENSMPUG00000016267,BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512],BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]
MUSNIGG00023602,MUSNIGT00028693,COX7A2L,NA,NA,cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]
MUSNIGG00023602,MUSNIGT00028693,COX7A2L,NA,NA,cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]
MUSNIGG00023605,MUSNIGT00028696,MBIP,ENSMPUG00000016265,MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427],MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427]
MUSNIGG00023608,MUSNIGT00028701,NKX2-1,NA,NA,NK2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11825]
MUSNIGG00023609,MUSNIGT00028702,NKX2-8,ENSMPUG00000016261,NK2 homeobox 8 [Source:HGNC Symbol;Acc:HGNC:16364],NK2 homeobox 8 [Source:HGNC Symbol;Acc:HGNC:16364]
MUSNIGG00023612,MUSNIGT00028706,PAX9,ENSMPUG00000016259,paired box 9 [Source:HGNC Symbol;Acc:HGNC:8623],paired box 9 [Source:HGNC Symbol;Acc:HGNC:8623]
MUSNIGG00023613,MUSNIGT00028708,SLC25A21,ENSMPUG00000016258,solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411],solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]
MUSNIGG00023616,MUSNIGT00028711,MIPOL1,ENSMPUG00000016256,mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460],mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460]
MUSNIGG00023621,MUSNIGT00028717,FOXA1,ENSMPUG00000016255,forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021],forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021]
MUSNIGG00023622,MUSNIGT00028720,TTC6,NA,NA,tetratricopeptide repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:19739]
MUSNIGG00023626,MUSNIGT00028725,SSTR1,ENSMPUG00000019561,somatostatin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11330],somatostatin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11330]
MUSNIGG00023627,MUSNIGT00028726,CLEC14A,ENSMPUG00000019559,C-type lectin domain containing 14A [Source:HGNC Symbol;Acc:HGNC:19832],C-type lectin domain containing 14A [Source:HGNC Symbol;Acc:HGNC:19832]
MUSNIGG00023639,MUSNIGT00028738,SEC23A,ENSMPUG00000016244,"Sec23 homolog A, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10701]","SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]"
MUSNIGG00023640,MUSNIGT00028739,GEMIN2,ENSMPUG00000016240,gem nuclear organelle associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10884],gem nuclear organelle associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10884]
MUSNIGG00023641,MUSNIGT00028740,TRAPPC6B,ENSMPUG00000016226,trafficking protein particle complex 6B [Source:HGNC Symbol;Acc:HGNC:23066],trafficking protein particle complex subunit 6B [Source:HGNC Symbol;Acc:HGNC:23066]
MUSNIGG00023642,MUSNIGT00028741,PNN,ENSMPUG00000016225,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]","pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]"
MUSNIGG00023643,MUSNIGT00028742,,NA,NA,NA
MUSNIGG00023644,MUSNIGT00028743,FBXO33,ENSMPUG00000016212,F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833],F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]
MUSNIGG00023652,MUSNIGT00028751,HERC5,ENSMPUG00000002169,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368],HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
MUSNIGG00023653,MUSNIGT00028752,HERC5,ENSMPUG00000002169,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368],HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
MUSNIGG00023658,MUSNIGT00028758,VIM,ENSMPUG00000011602,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
MUSNIGG00023658,MUSNIGT00028758,VIM,ENSMPUG00000011602,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
MUSNIGG00023658,MUSNIGT00028758,VIM,ENSMPUG00000011602,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
MUSNIGG00023658,MUSNIGT00028758,VIM,ENSMPUG00000011602,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
MUSNIGG00023660,MUSNIGT00028761,RPS12,NA,NA,ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]
MUSNIGG00023660,MUSNIGT00028761,RPS12,NA,NA,ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]
MUSNIGG00023666,MUSNIGT00028767,LRFN5,ENSMPUG00000001633,leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360],leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360]
MUSNIGG00023683,MUSNIGT00028784,CREM,ENSMPUG00000005982,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352],cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
MUSNIGG00023683,MUSNIGT00028784,CREM,ENSMPUG00000005982,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352],cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
MUSNIGG00023683,MUSNIGT00028784,CREM,ENSMPUG00000005982,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352],cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
MUSNIGG00023683,MUSNIGT00028784,CREM,ENSMPUG00000005982,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352],cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
MUSNIGG00023686,MUSNIGT00028787,DDB1,ENSMPUG00000014200,damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717],damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]
MUSNIGG00023692,MUSNIGT00028793,POFUT2,ENSMPUG00000010302,protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683],protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683]
MUSNIGG00023692,MUSNIGT00028793,POFUT2,ENSMPUG00000010302,protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683],protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683]
MUSNIGG00023692,MUSNIGT00028793,POFUT2,ENSMPUG00000010302,protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683],protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683]
MUSNIGG00023692,MUSNIGT00028793,POFUT2,ENSMPUG00000010302,protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683],protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683]
MUSNIGG00023693,MUSNIGT00028794,FSCB,NA,NA,fibrous sheath CABYR binding protein [Source:HGNC Symbol;Acc:HGNC:20494]
MUSNIGG00023698,MUSNIGT00028799,C14ORF28,NA,NA,NA
MUSNIGG00023699,MUSNIGT00028800,KLHL28,NA,NA,kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]
MUSNIGG00023700,MUSNIGT00028802,FAM179B,NA,NA,NA
MUSNIGG00023701,MUSNIGT00028804,PRPF39,ENSMPUG00000004786,pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314],pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314]
MUSNIGG00023702,MUSNIGT00028806,FKBP3,NA,NA,FKBP prolyl isomerase 3 [Source:HGNC Symbol;Acc:HGNC:3719]
MUSNIGG00023702,MUSNIGT00028806,FKBP3,NA,NA,FKBP prolyl isomerase 3 [Source:HGNC Symbol;Acc:HGNC:3719]
MUSNIGG00023703,MUSNIGT00028807,FANCM,ENSMPUG00000004849,FA complementation group M [Source:HGNC Symbol;Acc:HGNC:23168],FA complementation group M [Source:HGNC Symbol;Acc:HGNC:23168]
MUSNIGG00023704,MUSNIGT00028809,MIS18BP1,ENSMPUG00000004865,MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190],MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]
MUSNIGG00023716,MUSNIGT00028822,,NA,NA,NA
MUSNIGG00023720,MUSNIGT00028827,RPL10L,ENSMPUG00000019624,ribosomal protein L10 like [Source:HGNC Symbol;Acc:HGNC:17976],ribosomal protein L10 like [Source:HGNC Symbol;Acc:HGNC:17976]
MUSNIGG00023721,MUSNIGT00028828,MDGA2,ENSMPUG00000004928,MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835],MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835]
MUSNIGG00023723,MUSNIGT00028830,MDGA2,ENSMPUG00000004928,MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835],MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835]
MUSNIGG00023747,MUSNIGT00028855,LRR1,ENSMPUG00000004946,leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742],leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]
MUSNIGG00023748,MUSNIGT00028856,DNAAF2,NA,NA,dynein axonemal assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:20188]
